txn_date,amount,category,counterparty,currency,txn_id
2024-04-17,-45.76,Wire Out,Blue Harbor Trading,USD,TX1000101
2024-11-09,-24643.97,Card Payment,Silverline Media,USD,TX1000102
2024-09-07,3729.91,Wire In,Veranda Hospitality,USD,TX1000103
2024-07-10,2124.44,Wire In,Sterling & Rowe,USD,TX1000104
2024-08-29,-59.34,Wire Out,Copperfield & Co,USD,TX1000105
2024-08-05,-536.59,FX Settlement,Northgate Partners,USD,TX1000106
2024-01-26,-7439.48,Card Payment,Meridian Capital LLC,USD,TX1000107
2024-11-30,18515.93,Wire In,Nimbus Cloud Svcs,USD,TX1000108
2024-04-04,-9318.15,FX Settlement,Granite Peak LLC,USD,TX1000109
2024-10-19,3955.33,Wire In,Blue Harbor Trading,USD,TX1000110
2024-02-15,-1988.35,Card Payment,Northgate Partners,USD,TX1000111
2024-03-17,781.49,ACH Credit,Apex Global Markets,USD,TX1000112
2024-08-05,-560.08,Card Payment,Halcyon Asset Mgmt,USD,TX1000113
2024-02-24,-992.5,Fee,Cobalt Networks,USD,TX1000114
2024-06-07,-55.95,Wire Out,Apex Global Markets,USD,TX1000115
2024-02-22,28.16,ACH Credit,Copperfield & Co,USD,TX1000116
2024-12-28,198.2,ACH Credit,Crestline Bank,USD,TX1000117
2024-05-04,-45.65,Fee,Cobalt Networks,USD,TX1000118
2024-08-10,-12.12,ACH Debit,Juniper Health Grp,USD,TX1000119
2024-05-27,-14208.04,Card Payment,Crestline Bank,USD,TX1000120
2024-05-21,-12.55,Wire Out,Silverline Media,USD,TX1000121
2024-10-05,30.07,Wire In,Apex Global Markets,USD,TX1000122
2024-09-16,-165.72,Wire Out,Sterling & Rowe,USD,TX1000123
2024-04-05,-93.99,Wire Out,Northgate Partners,USD,TX1000124
2024-10-21,-26770.88,Fee,Veranda Hospitality,USD,TX1000125
2024-11-22,-14424.03,Fee,Onyx Consulting,USD,TX1000126
2024-12-06,-26327.16,Wire Out,Orion Systems Inc,USD,TX1000127
2024-06-15,-14194.65,Card Payment,Apex Global Markets,USD,TX1000128
2024-05-16,-12.31,ACH Debit,Nimbus Cloud Svcs,USD,TX1000129
2024-07-28,-281.23,Wire Out,Northgate Partners,USD,TX1000130
2024-12-20,-100.01,Wire Out,Lakeside Trust,USD,TX1000131
2024-09-17,-13.67,FX Settlement,Kestrel Analytics,USD,TX1000132
2024-11-12,-2717.11,Card Payment,Juniper Health Grp,USD,TX1000133
2024-01-18,20.15,ACH Credit,Silverline Media,USD,TX1000134
2024-12-19,28215.1,ACH Credit,Silverline Media,USD,TX1000135
2024-06-19,501.39,Wire In,Silverline Media,USD,TX1000136
2024-09-29,-951.37,Fee,Granite Peak LLC,USD,TX1000137
2024-12-16,-194.2,Card Payment,Sable River Mining,USD,TX1000138
2024-03-04,-230.24,ACH Debit,Orion Systems Inc,USD,TX1000139
2024-06-30,205.41,ACH Credit,Juniper Health Grp,USD,TX1000140
2024-09-07,38919.33,Wire In,,USD,TX1000141
2024-07-05,-27575.58,ACH Debit,Ironwood Advisory,USD,TX1000142
2024-11-13,22272.5,ACH Credit,Meridian Capital LLC,USD,TX1000143
2024-12-04,-10751.93,Card Payment,Monarch Realty,USD,TX1000144
2024-05-30,-3098.3,Wire Out,Orion Systems Inc,USD,TX1000145
2024-04-04,13578.95,ACH Credit,Halcyon Asset Mgmt,USD,TX1000146
2024-11-24,11492.15,Wire In,Pinnacle Ventures,USD,TX1000147
2024-04-03,-38192.78,Wire Out,Nimbus Cloud Svcs,USD,TX1000148
2024-10-11,-701.55,Fee,Apex Global Markets,USD,TX1000149
2024-07-22,-11839.92,Card Payment,Sterling & Rowe,USD,TX1000150
2024-08-11,-36.57,Wire Out,Apex Global Markets,USD,TX1000151
2024-03-22,-39289.04,Wire Out,Meridian Capital LLC,USD,TX1000152
2024-08-11,-2818.4,ACH Debit,Redwood Securities,USD,TX1000153
2024-03-11,-8605.62,Fee,Apex Global Markets,USD,TX1000154
2024-12-20,40.78,Interest,Beacon Insurance,USD,TX1000155
2024-04-13,7224.54,Wire In,Apex Global Markets,USD,TX1000156
2024-03-30,276.75,ACH Credit,Windward Shipping,USD,TX1000157
2024-01-11,-384.93,Card Payment,Cobalt Networks,USD,TX1000158
2024-02-14,-879.71,Fee,Beacon Insurance,USD,TX1000159
2024-10-08,-36754.97,Wire Out,Redwood Securities,USD,TX1000160
2024-02-04,-8033.2,Card Payment,Sable River Mining,USD,TX1000161
2024-06-18,-3560.3,FX Settlement,Sterling & Rowe,USD,TX1000162
2024-04-06,-99.58,Wire Out,Driftwood Leasing,USD,TX1000163
2024-10-30,-32.63,Wire Out,Driftwood Leasing,USD,TX1000164
2024-03-14,-11192.94,Fee,Veranda Hospitality,USD,TX1000165
2024-12-03,-33143.35,Wire Out,Redwood Securities,USD,TX1000166
2024-06-27,-22.52,Wire Out,Apex Global Markets,USD,TX1000167
2024-03-28,-8662.74,Card Payment,Juniper Health Grp,USD,TX1000168
2024-11-28,-7238.25,ACH Debit,Windward Shipping,USD,TX1000169
2024-06-24,-3187.25,Card Payment,Evergreen Payroll,USD,TX1000170
2024-05-27,-104.8,FX Settlement,Titan Freight Lines,USD,TX1000171
2024-05-05,-9188.57,Card Payment,Apex Global Markets,USD,TX1000172
2024-12-01,-4917.01,ACH Debit,Apex Global Markets,USD,TX1000173
2024-02-22,-7127.89,Wire Out,Apex Global Markets,USD,TX1000174
2024-01-04,1025.06,ACH Credit,Onyx Consulting,USD,TX1000175
2024-08-09,159.31,Interest,Brightline Energy,USD,TX1000176
2024-07-02,-1253.64,Wire Out,Apex Global Markets,USD,TX1000177
2024-04-10,-11048.04,ACH Debit,Crestline Bank,USD,TX1000178
2024-09-08,-3223.34,Wire Out,Sterling & Rowe,USD,TX1000179
2024-06-12,-393.95,ACH Debit,Apex Global Markets,USD,TX1000180
2024-08-29,312.77,ACH Credit,Apex Global Markets,USD,TX1000181
2024-06-01,31848.58,Wire In,Granite Peak LLC,USD,TX1000182
2024-11-01,179.14,Wire In,Ashford Legal LLP,USD,TX1000183
2024-08-29,286.42,Wire In,Evergreen Payroll,USD,TX1000184
2024-12-24,-77.69,ACH Debit,Evergreen Payroll,USD,TX1000185
2024-12-12,105.7,Interest,Granite Peak LLC,USD,TX1000186
2024-08-23,36727.56,Wire In,Evergreen Payroll,USD,TX1000187
2024-11-13,-1636.07,FX Settlement,Redwood Securities,USD,TX1000188
2024-10-14,-23060.59,Wire Out,Blue Harbor Trading,USD,TX1000189
2024-10-31,-120.63,Fee,Apex Global Markets,USD,TX1000190
2024-11-12,-117.85,Card Payment,Orion Systems Inc,USD,TX1000191
2024-05-06,-1135.41,Card Payment,Pinnacle Ventures,USD,TX1000192
2024-07-21,-29.58,Wire Out,Evergreen Payroll,USD,TX1000193
2024-06-05,-1986.8,ACH Debit,Quartz Petroleum,USD,TX1000194
2024-08-18,-26889.97,Fee,Crestline Bank,USD,TX1000195
2024-01-04,-125.87,Wire Out,Sterling & Rowe,USD,TX1000196
2024-03-07,-191.57,Card Payment,Apex Global Markets,USD,TX1000197
2024-04-19,-2853.87,Fee,Nimbus Cloud Svcs,USD,TX1000198
2024-05-11,20.81,Wire In,Titan Freight Lines,USD,TX1000199
2024-07-15,-21.83,Card Payment,Windward Shipping,USD,TX1000200
2024-11-09,-673.67,ACH Debit,Sterling & Rowe,USD,TX1000201
2024-12-28,-42.28,Wire Out,Ashford Legal LLP,USD,TX1000202
2024-09-23,-177.88,Wire Out,Windward Shipping,USD,TX1000203
2024-07-18,-10166.16,FX Settlement,Crestline Bank,USD,TX1000204
2024-07-05,-5136.0,FX Settlement,Sterling & Rowe,USD,TX1000205
2024-04-12,10992.06,Wire In,Ironwood Advisory,USD,TX1000206
2024-11-25,-14.81,Wire Out,Veranda Hospitality,USD,TX1000207
2024-09-14,-175.28,Wire Out,Orion Systems Inc,USD,TX1000208
2024-09-07,-23789.52,ACH Debit,Pinnacle Ventures,USD,TX1000209
2024-05-09,-29333.01,Wire Out,Apex Global Markets,USD,TX1000210
2024-04-11,-6713.83,Card Payment,Evergreen Payroll,USD,TX1000211
2024-03-19,45.79,ACH Credit,Cascade Holdings,USD,TX1000212
2024-12-28,-687.75,Card Payment,Redwood Securities,USD,TX1000213
2024-10-08,21.29,ACH Credit,Nimbus Cloud Svcs,USD,TX1000214
2024-10-02,38.79,Wire In,Crestline Bank,USD,TX1000215
2024-02-26,-11033.23,ACH Debit,Pinnacle Ventures,USD,TX1000216
2024-07-22,-260.52,FX Settlement,Silverline Media,USD,TX1000217
2024-11-27,-791.28,Card Payment,Redwood Securities,USD,TX1000218
2024-09-27,-12499.98,Fee,Silverline Media,USD,TX1000219
2024-01-16,3585.91,ACH Credit,Apex Global Markets,USD,TX1000220
2024-05-16,146.98,ACH Credit,Larkspur Foods,USD,TX1000221
2024-05-30,-1771.87,Card Payment,Onyx Consulting,USD,TX1000222
2024-01-07,-253.07,FX Settlement,Apex Global Markets,USD,TX1000223
2024-12-24,14712.95,ACH Credit,Apex Global Markets,USD,TX1000224
2024-11-21,-437.44,FX Settlement,Meridian Capital LLC,USD,TX1000225
2024-07-31,-159.86,ACH Debit,Crestline Bank,USD,TX1000226
2024-09-17,8206.87,Wire In,Coastal Union Bank,USD,TX1000227
2024-12-04,-70.0,FX Settlement,Sable River Mining,USD,TX1000228
2024-09-25,623.38,ACH Credit,Zenith Manufacturing,USD,TX1000229
2024-11-10,-1870.64,ACH Debit,Apex Global Markets,USD,TX1000230
2024-11-24,-11.28,Fee,Apex Global Markets,USD,TX1000231
2024-01-08,-13.4,Card Payment,Sterling & Rowe,USD,TX1000232
2024-02-06,131.3,Wire In,Apex Global Markets,USD,TX1000233
2024-12-21,25.34,ACH Credit,Larkspur Foods,USD,TX1000234
2024-08-12,-19926.54,Wire Out,Pinnacle Ventures,USD,TX1000235
2024-05-08,-5908.73,ACH Debit,Silverline Media,USD,TX1000236
2024-06-20,50.13,Wire In,Orion Systems Inc,USD,TX1000237
2024-07-01,13.68,Wire In,Apex Global Markets,USD,TX1000238
2024-01-21,-10162.5,Card Payment,Sable River Mining,USD,TX1000239
2024-07-15,-3956.96,Card Payment,Coastal Union Bank,USD,TX1000240
2024-05-07,-8493.9,Card Payment,Sable River Mining,USD,TX1000241
2024-01-04,-3779.34,Fee,Apex Global Markets,USD,TX1000242
2024-04-19,49189.26,ACH Credit,Silverline Media,USD,TX1000243
2024-07-24,-41.8,Wire Out,Halcyon Asset Mgmt,USD,TX1000244
2024-01-04,-2704.95,Wire Out,Northgate Partners,USD,TX1000245
2024-11-10,-9721.26,Card Payment,Silverline Media,USD,TX1000246
2024-06-28,-434.44,Card Payment,Granite Peak LLC,USD,TX1000247
2024-04-25,-1499.37,Wire Out,Sable River Mining,USD,TX1000248
2024-03-22,-86.0,FX Settlement,Meridian Capital LLC,USD,TX1000249
2024-09-04,-48370.17,Wire Out,Apex Global Markets,USD,TX1000250
2024-01-02,11.39,Wire In,Veranda Hospitality,USD,TX1000251
2024-11-10,4526.45,Wire In,Summit Freight Co,USD,TX1000252
2024-08-28,-4346.22,Wire Out,Lakeside Trust,USD,TX1000253
2024-08-21,-38441.74,Wire Out,Redwood Securities,USD,TX1000254
2024-09-08,-26.23,Wire Out,Coastal Union Bank,USD,TX1000255
2024-07-03,-1607.28,Wire Out,Onyx Consulting,USD,TX1000256
2024-08-30,17392.39,Wire In,Silverline Media,USD,TX1000257
2024-06-14,-563.78,Card Payment,Pinnacle Ventures,USD,TX1000258
2024-03-28,-27.46,Wire Out,Redwood Securities,USD,TX1000259
2024-05-21,-27509.37,Wire Out,Nimbus Cloud Svcs,USD,TX1000260
2024-07-12,-27302.97,Card Payment,Ashford Legal LLP,USD,TX1000261
2024-01-25,-46597.1,Card Payment,Pinnacle Ventures,USD,TX1000262
2024-09-12,-6689.13,FX Settlement,Orion Systems Inc,USD,TX1000263
2024-08-04,-18.54,Card Payment,Onyx Consulting,USD,TX1000264
2024-04-24,-43.02,Card Payment,Aurora Payments,USD,TX1000265
2024-05-06,-467.25,Card Payment,Beacon Insurance,USD,TX1000266
2024-10-03,237.77,ACH Credit,Juniper Health Grp,USD,TX1000267
2024-01-05,118.29,ACH Credit,Monarch Realty,USD,TX1000268
2024-09-04,-7343.2,FX Settlement,Sterling & Rowe,USD,TX1000269
2024-09-11,-6929.6,Wire Out,Sable River Mining,USD,TX1000270
2024-12-20,509.25,ACH Credit,Granite Peak LLC,USD,TX1000271
2024-01-22,-1830.85,ACH Debit,Apex Global Markets,USD,TX1000272
2024-11-17,-28764.88,Card Payment,Silverline Media,USD,TX1000273
2024-12-22,1545.79,ACH Credit,Apex Global Markets,USD,TX1000274
2024-05-18,36889.83,Wire In,Larkspur Foods,USD,TX1000275
2024-06-16,-234.54,Card Payment,Apex Global Markets,USD,TX1000276
2024-11-25,-1705.66,Wire Out,Ashford Legal LLP,USD,TX1000277
2024-03-21,-2180.58,Wire Out,Beacon Insurance,USD,TX1000278
2024-08-12,-215.09,Wire Out,Ashford Legal LLP,USD,TX1000279
2024-02-08,13.06,Wire In,Apex Global Markets,USD,TX1000280
2024-02-22,-27193.89,Card Payment,Granite Peak LLC,USD,TX1000281
2024-06-13,3064.42,ACH Credit,Evergreen Payroll,USD,TX1000282
2024-05-30,-34464.03,Card Payment,Crestline Bank,USD,TX1000283
2024-07-08,4548.0,ACH Credit,Kestrel Analytics,USD,TX1000284
2024-10-11,135.62,Wire In,Evergreen Payroll,USD,TX1000285
2024-06-21,-21.67,Card Payment,Pinnacle Ventures,USD,TX1000286
2024-01-15,-32221.05,Wire Out,Meridian Capital LLC,USD,TX1000287
2024-11-23,664.77,Wire In,Monarch Realty,USD,TX1000288
2024-10-05,-5382.47,ACH Debit,Orion Systems Inc,USD,TX1000289
2024-09-28,493.59,Wire In,Ironwood Advisory,USD,TX1000290
2024-02-23,-3267.08,Card Payment,Coastal Union Bank,USD,TX1000291
2024-12-02,24.74,Wire In,Ashford Legal LLP,USD,TX1000292
2024-09-27,-50.87,ACH Debit,Cobalt Networks,USD,TX1000293
2024-09-11,-48607.26,Wire Out,Apex Global Markets,USD,TX1000294
2024-09-27,-2223.43,ACH Debit,Apex Global Markets,USD,TX1000295
2024-08-11,-16.76,Fee,Halcyon Asset Mgmt,USD,TX1000296
2024-06-25,-7804.16,FX Settlement,Sterling & Rowe,USD,TX1000297
2024-02-25,63.95,ACH Credit,Summit Freight Co,USD,TX1000298
2024-12-25,1258.99,Wire In,Onyx Consulting,USD,TX1000299
2024-08-16,170.75,Interest,Apex Global Markets,USD,TX1000300
2024-01-02,-615.96,ACH Debit,Redwood Securities,USD,TX1000301
2024-01-31,-50.46,Wire Out,Redwood Securities,USD,TX1000302
2024-04-30,-1773.84,Card Payment,Monarch Realty,USD,TX1000303
2024-06-06,-2030.88,Wire Out,Pinnacle Ventures,USD,TX1000304
2024-04-27,-444.41,Card Payment,Evergreen Payroll,USD,TX1000305
2024-03-31,1509.3,Wire In,Apex Global Markets,USD,TX1000306
2024-02-20,27787.03,Wire In,Meridian Capital LLC,USD,TX1000307
2024-09-10,1296.66,Interest,Blue Harbor Trading,USD,TX1000308
2024-06-15,409.3,Interest,Redwood Securities,USD,TX1000309
2024-06-03,-287.94,Wire Out,Onyx Consulting,USD,TX1000310
2024-09-16,13455.83,ACH Credit,Sterling & Rowe,USD,TX1000311
2024-07-05,-10.51,Wire Out,Kestrel Analytics,USD,TX1000312
2024-07-27,-44.83,Wire Out,Halcyon Asset Mgmt,USD,TX1000313
2024-12-25,-1668.22,Wire Out,Silverline Media,USD,TX1000314
2024-02-27,-12.43,ACH Debit,Redwood Securities,USD,TX1000315
2024-12-20,22.58,ACH Credit,Northgate Partners,USD,TX1000316
2024-07-28,-32556.79,Wire Out,Meridian Capital LLC,USD,TX1000317
2024-02-05,13.65,Interest,Crestline Bank,USD,TX1000318
2024-04-06,-3731.26,Wire Out,Evergreen Payroll,USD,TX1000319
2024-10-08,798.1,Wire In,Apex Global Markets,USD,TX1000320
2024-02-19,-17941.86,ACH Debit,Redwood Securities,USD,TX1000321
2024-01-01,-844.66,Wire Out,Apex Global Markets,USD,TX1000322
2024-07-19,-44.74,ACH Debit,Orion Systems Inc,USD,TX1000323
2024-10-01,-2757.9,ACH Debit,Apex Global Markets,USD,TX1000324
2024-05-17,-188.23,Card Payment,Sable River Mining,USD,TX1000325
2024-11-19,-69.13,Card Payment,Apex Global Markets,USD,TX1000326
2024-06-20,2183.06,ACH Credit,Nimbus Cloud Svcs,USD,TX1000327
2024-03-10,-2279.01,ACH Debit,Vanguard Logistics,USD,TX1000328
2024-01-21,-85.51,Card Payment,Juniper Health Grp,USD,TX1000329
2024-05-03,-565.29,Fee,Veranda Hospitality,USD,TX1000330
2024-08-26,-492.36,Card Payment,Apex Global Markets,USD,TX1000331
2024-01-11,-3744.6,ACH Debit,Apex Global Markets,USD,TX1000332
2024-09-15,-14.22,Card Payment,Crestline Bank,USD,TX1000333
2024-01-30,-11181.99,Wire Out,Nimbus Cloud Svcs,USD,TX1000334
2024-01-01,-21.05,Fee,Coastal Union Bank,USD,TX1000335
2024-03-04,-2219.14,Fee,Redwood Securities,USD,TX1000336
2024-07-08,-6870.16,FX Settlement,Northgate Partners,USD,TX1000337
2024-04-27,194.02,Interest,Lakeside Trust,USD,TX1000338
2024-03-14,40.05,Wire In,Sterling & Rowe,USD,TX1000339
2024-01-23,14.32,Wire In,Larkspur Foods,USD,TX1000340
2024-09-15,-4228.17,Wire Out,Apex Global Markets,USD,TX1000341
2024-09-17,-78.91,Wire Out,Quartz Petroleum,USD,TX1000342
2024-09-14,-21693.46,ACH Debit,Halcyon Asset Mgmt,USD,TX1000343
2024-03-13,-15.87,Fee,Coastal Union Bank,USD,TX1000344
2024-01-25,-136.97,Fee,Veranda Hospitality,USD,TX1000345
2024-04-01,16.56,Wire In,Apex Global Markets,USD,TX1000346
2024-04-19,-1333.89,Wire Out,Sable River Mining,USD,TX1000347
2024-10-19,-1467.59,Card Payment,Titan Freight Lines,USD,TX1000348
2024-04-06,-164.16,Wire Out,Apex Global Markets,USD,TX1000349
2024-04-30,1981.11,ACH Credit,Redwood Securities,USD,TX1000350
2024-08-26,-1138.91,ACH Debit,Onyx Consulting,USD,TX1000351
2024-07-24,952.04,ACH Credit,Windward Shipping,USD,TX1000352
2024-05-01,-30886.99,Fee,Onyx Consulting,USD,TX1000353
2024-03-10,-166.91,ACH Debit,Northgate Partners,USD,TX1000354
2024-11-12,-7561.64,ACH Debit,Apex Global Markets,USD,TX1000355
2024-11-13,2170.34,Wire In,Apex Global Markets,USD,TX1000356
2024-10-31,-187.16,Card Payment,Halcyon Asset Mgmt,USD,TX1000357
2024-04-12,-12.13,Wire Out,Brightline Energy,USD,TX1000358
2024-01-16,-2292.91,FX Settlement,Windward Shipping,USD,TX1000359
2024-07-31,-2854.56,Fee,Pinnacle Ventures,USD,TX1000360
2024-05-11,-297.76,Wire Out,Ashford Legal LLP,USD,TX1000361
2024-03-14,5737.06,ACH Credit,Nimbus Cloud Svcs,USD,TX1000362
2024-10-10,-4269.8,ACH Debit,Larkspur Foods,USD,TX1000363
2024-06-17,-454.67,Wire Out,Sable River Mining,USD,TX1000364
2024-06-15,-1326.55,Fee,Ashford Legal LLP,USD,TX1000365
2024-04-16,-21.97,Card Payment,Blue Harbor Trading,USD,TX1000366
2024-03-25,-287.13,Card Payment,Sable River Mining,USD,TX1000367
2024-11-01,26757.07,Wire In,Lakeside Trust,USD,TX1000368
2024-09-27,9288.39,Wire In,Evergreen Payroll,USD,TX1000369
2024-01-29,-3244.42,Card Payment,Evergreen Payroll,USD,TX1000370
2024-07-19,-334.1,Fee,Northgate Partners,USD,TX1000371
2024-01-27,-473.53,Card Payment,Sable River Mining,USD,TX1000372
2024-02-12,1112.42,Wire In,Apex Global Markets,USD,TX1000373
2024-10-20,-3443.17,Wire Out,Zenith Manufacturing,USD,TX1000374
2024-05-05,-7203.81,Wire Out,Sterling & Rowe,USD,TX1000375
2024-09-28,-43490.79,Wire Out,Tidewater Imports,USD,TX1000376
2024-10-17,-24.81,Wire Out,Sterling & Rowe,USD,TX1000377
2024-01-31,-26347.93,Card Payment,Evergreen Payroll,USD,TX1000378
2024-05-17,-5393.16,ACH Debit,Northgate Partners,USD,TX1000379
2024-07-17,-18.14,Fee,Pinnacle Ventures,USD,TX1000380
